4380,0.12,1001.10,31.30,-3.11,-3.81,6.70,-0.01,-0.13,-0.01,8.43
4445,0.00,1001.12,31.27,-2.97,-3.88,6.57,-0.02,0.09,-0.02,8.43
4484,0.00,1001.12,31.25,-2.91,-3.61,6.56,-0.01,0.07,-0.00,8.43
4522,0.00,1001.13,31.24,-3.38,-3.77,6.59,-0.01,-0.18,-0.00,8.43
4560,0.00,1001.13,31.24,-2.74,-3.62,7.02,-0.00,0.05,-0.01,8.42
4598,0.00,1001.14,31.24,-3.04,-3.66,6.70,-0.00,0.34,0.01,8.43
4649,0.00,1001.14,31.24,-3.46,-3.81,6.53,0.00,-0.38,-0.01,8.42
4688,0.00,1001.13,31.23,-2.55,-3.64,7.43,0.01,-0.32,0.01,8.42
4726,0.00,1001.13,31.23,-2.90,-3.75,6.66,-0.02,0.22,0.00,8.42
4764,0.00,1001.13,31.23,-3.17,-3.59,6.76,-0.01,0.25,0.01,8.42
4802,0.00,1001.12,31.23,-3.28,-3.50,6.69,-0.03,0.19,0.00,8.42
4853,0.00,1001.13,31.24,-3.73,-3.67,6.67,0.03,-0.25,-0.01,8.42
4892,0.00,1001.13,31.24,-2.87,-3.70,6.95,0.01,-0.29,-0.00,8.42
4939,0.00,1001.13,31.24,-3.21,-3.62,6.64,0.02,0.01,-0.01,8.41
4978,0.00,1001.13,31.24,-3.19,-3.53,6.76,0.03,-0.22,-0.01,8.41
5016,0.00,1001.13,31.24,-2.72,-3.76,6.74,-0.01,0.01,-0.00,8.42
5068,0.00,1001.13,31.24,-3.19,-3.63,7.02,0.01,-0.07,-0.01,8.42
5107,0.00,1001.13,31.24,-2.82,-3.49,6.91,0.01,-0.19,-0.00,8.42
5145,0.00,1001.12,31.24,-2.79,-3.77,6.92,-0.01,0.17,-0.01,8.42
5183,0.00,1001.12,31.24,-3.48,-3.59,6.66,0.01,0.03,-0.01,8.42
5221,0.00,1001.12,31.25,-3.16,-3.56,6.79,0.01,-0.27,-0.03,8.42
5272,0.05,1001.11,31.25,-2.65,-3.58,7.17,-0.00,0.10,-0.00,8.42
5311,0.03,1001.11,31.25,-3.61,-3.52,6.47,-0.01,0.04,-0.03,8.42
5349,0.07,1001.11,31.25,-2.63,-3.71,7.19,0.01,-0.28,-0.01,8.42
5387,0.02,1001.12,31.25,-2.71,-3.54,7.22,-0.02,0.07,-0.02,8.42
5425,0.02,1001.12,31.26,-3.24,-3.58,6.79,-0.01,-0.02,-0.01,8.42
5486,0.00,1001.12,31.26,-3.39,-3.43,6.83,-0.01,0.10,0.01,8.42
5525,0.00,1001.12,31.26,-2.51,-3.63,7.15,-0.02,0.04,0.00,8.42
5563,0.00,1001.12,31.25,-3.23,-3.64,6.93,-0.03,0.47,0.00,8.42
5601,0.00,1001.13,31.25,-3.51,-3.76,6.32,-0.01,0.04,-0.00,8.42
5639,0.00,1001.12,31.26,-3.40,-3.53,6.86,0.01,-0.11,-0.01,8.42
5691,0.01,1001.12,31.26,-3.26,-3.71,6.72,0.03,-0.23,-0.01,8.42
5730,0.00,1001.12,31.26,-2.89,-3.56,7.02,0.03,-0.23,-0.01,8.42
5768,0.03,1001.11,31.26,-3.06,-3.58,6.82,0.04,-0.27,-0.01,8.42
5806,0.01,1001.12,31.26,-2.68,-3.43,7.10,-0.00,-0.20,-0.01,8.42
5844,0.03,1001.11,31.26,-2.65,-3.50,7.01,-0.01,0.43,0.00,8.42
5895,0.03,1001.11,31.27,-3.07,-3.74,6.79,0.01,-0.43,-0.01,8.42
5934,0.04,1001.11,31.27,-2.66,-3.53,7.00,-0.00,0.02,-0.01,8.42
5980,0.00,1001.12,31.27,-3.17,-3.51,6.84,0.02,-0.21,-0.01,8.42
6019,0.03,1001.11,31.27,-2.69,-3.39,6.87,-0.01,-0.10,-0.00,8.41
6057,0.04,1001.11,31.27,-3.17,-3.68,6.57,0.02,-0.21,-0.01,8.41
6108,0.06,1001.11,31.27,-2.41,-2.99,7.24,0.03,-0.18,-0.02,8.42
6147,0.06,1001.11,31.27,-3.01,-3.76,6.80,0.00,-0.13,-0.01,8.42
6185,0.02,1001.12,31.27,-2.45,-3.54,7.24,0.02,-0.48,-0.01,8.41
6223,0.05,1001.11,31.27,-2.36,-3.46,7.01,-0.03,-0.06,-0.02,8.41
6261,0.12,1001.10,31.27,-2.64,-3.48,6.90,-0.01,-0.51,-0.02,8.42
6312,0.18,1001.10,31.27,-1.51,-3.36,8.17,-0.12,0.72,0.01,8.42
6350,0.18,1001.10,31.27,-3.21,-3.52,6.41,-0.23,0.79,0.01,8.42
6388,0.19,1001.09,31.27,-2.55,-3.75,7.22,-0.03,0.56,0.01,8.41
6426,0.23,1001.09,31.27,-3.99,-3.68,5.78,-0.01,-0.17,0.00,8.42
6464,0.25,1001.09,31.27,-2.91,-3.88,6.91,0.02,-0.94,-0.01,8.42
6525,0.27,1001.09,31.28,-2.39,-3.40,7.20,-0.03,0.46,0.01,8.42
6564,0.26,1001.09,31.28,-2.97,-3.66,6.79,-0.06,0.40,0.01,8.42
6602,0.19,1001.10,31.28,-3.13,-3.68,6.72,-0.04,0.30,0.00,8.42
6640,0.26,1001.09,31.28,-3.34,-3.76,6.68,-0.03,0.12,0.00,8.42
6678,0.27,1001.09,31.29,-3.27,-3.67,6.73,-0.01,-0.04,-0.01,8.42
6730,0.28,1001.08,31.29,-3.09,-3.66,6.80,-0.01,0.00,-0.01,8.42
6769,0.22,1001.09,31.29,-2.49,-3.87,5.54,-0.01,0.09,-0.01,8.42
6807,0.23,1001.09,31.30,-3.29,-3.67,6.69,-0.02,-0.00,-0.01,8.42
6845,0.17,1001.10,31.30,-3.16,-3.50,6.92,-0.01,0.10,-0.01,8.42
6883,0.18,1001.10,31.30,-3.13,-3.64,6.88,-0.00,-0.20,-0.01,8.42
6935,0.24,1001.09,31.30,-3.37,-3.68,6.64,-0.01,0.01,-0.00,8.42
6974,0.26,1001.09,31.30,-2.88,-3.61,6.98,-0.01,-0.09,-0.01,8.42
7020,0.24,1001.09,31.30,-3.31,-3.62,6.70,-0.02,0.13,-0.01,8.42
7059,0.25,1001.09,31.30,-3.27,-3.69,6.79,-0.01,0.00,-0.00,8.42
7097,0.26,1001.09,31.30,-2.98,-3.73,6.98,-0.01,0.02,-0.00,8.42
